Batter Name,1 H,2 H,3 H
Alejandro Kirk,−250,+190,+700
Austin Hays,−175,+320,
Brandon Marsh,−145,+390,
Brian Serven,−150,+390,
Bryce Harper,−255,+205,+850
Bryson Stott,−220,+255,+1100
Daulton Varsho,−180,+320,
Davis Schneider,−165,+360,
Edmundo Sosa,−155,+360,
Ernie Clement,−240,+195,+750
George Springer,−245,+195,+800
J.T. Realmuto,−235,+230,+1000
Kyle Schwarber,−180,+280,+1100
Leo Jimenez,−175,+310,
Nick Castellanos,−250,+185,+700
Spencer Horwitz,−180,+310,
Trea Turner,−320,+165,+650
Vladimir Guerrero Jr,−255,+190,+750
Adley Rutschman,−265,+185,+700
Andrew Benintendi,−190,+290,
Andrew Vaughn,−230,+245,+1100
Anthony Santander,−240,+235,+1000
Cedric Mullins,−190,+285,+1200
Colton Cowser,−220,+225,+900
Corey Julks,−165,+340,
Dominic Fletcher,−155,+370,
Eloy Jimenez,−240,+205,+750
Emmanuel Rivera,−160,+340,
Gavin Sheets,−165,+360,
Gunnar Henderson,−330,+155,+550
Jackson Holliday,−210,+255,+1000
Jacob Amaya,−115,+500,
Korey Lee,−165,+350,
Luis Robert Jr,−220,+250,+1000
Nicky Lopez,−210,+245,+1000
Ryan O'Hearn,−295,+170,+650
Alex Bregman,−330,+150,+500
Amed Rosario,−230,+220,+850
Ben Gamel,−200,+275,
Chas McCormick,−165,+330,
Elly De La Cruz,−175,+310,
Jake Fraley,−155,+380,
Jeremy Pena,−310,+165,+600
Jonathan India,−235,+230,+1000
Jose Altuve,−350,+145,+500
Mauricio Dubon,−255,+185,+650
Noelvi Marte,−170,+360,
Spencer Steer,−200,+280,
TJ Friedl,−150,+390,
Ty France,−205,+250,+1100
Tyler Stephenson,−240,+225,+1000
Victor Caratini,−230,+215,+850
Yainer Diaz,−370,+130,+450
Yordan Alvarez,−370,+145,+550
Andres Chaparro,−215,+270,+1200
CJ Abrams,−205,+290,
Connor Norby,−235,+230,+1000
Derek Hill,−190,+300,
Dylan Crews,−265,+205,+900
Griffin Conine,−120,+500,
Jacob Young,−180,+295,
Jake Burger,−280,+210,+950
James Wood,−190,+295,
Joey Gallo,−120,+475,
Jonah Bride,−185,+310,
Jose Tena,−265,+200,+800
Keibert Ruiz,−195,+290,+1300
Kyle Stowers,−105,+600,
Luis Garcia Jr,−295,+180,+700
Nick Fortes,−160,+370,
Otto Lopez,−280,+185,+700
Xavier Edwards,−285,+180,+750
Austin Martin,−145,+400,
Ben Rortvedt,−145,+450,
Brandon Lowe,−210,+270,+1300
Brooks Lee,−170,+330,
Carlos Santana,−190,+300,
Christopher Morel,−140,+400,
Dylan Carlson,−160,+360,
Jonny DeLuca,−160,+370,
Jose Miranda,−260,+200,+800
Josh Lowe,−215,+260,+1200
Junior Caminero,−200,+295,
Kyle Farmer,−155,+380,
Matt Wallner,−110,+550,
Royce Lewis,−230,+230,+1000
Ryan Jeffers,−195,+290,
Taylor Walls,−115,+550,
Willi Castro,−240,+205,+800
Yandy Diaz,−255,+185,+700
Brandon Nimmo,−205,+250,+1100
Ceddanne Rafaela,−175,+320,
Connor Wong,−145,+400,
Enmanuel Valdez,−125,+450,
Francisco Alvarez,−130,+425,
Francisco Lindor,−235,+220,+900
Jarren Duran,−260,+195,+750
Jeff McNeil,−160,+350,
Jesse Winker,−165,+330,
Jose Iglesias,−205,+260,+1100
Mark Vientos,−170,+330,
Masataka Yoshida,−215,+245,+1000
Pete Alonso,−170,+320,
Rafael Devers,−200,+265,+1200
Starling Marte,−175,+310,
Triston Casas,−135,+425,
Tyler O'Neill,−170,+340,
Wilyer Abreu,−160,+350,
Brendan Rodgers,−245,+200,+750
Brenton Doyle,−225,+230,+950
Charlie Blackmon,−155,+360,
Ezequiel Tovar,−250,+215,+900
Gio Urshela,−245,+180,+650
Jacob Stallings,−175,+320,
Jarred Kelenic,−185,+310,
Jordan Beck,−160,+360,
Jorge Soler,−245,+225,+1100
Marcell Ozuna,−340,+160,+650
Matt Olson,−255,+210,+900
Michael Harris II,−320,+155,+600
Michael Toglia,−115,+550,
Nolan Jones,−120,+500,
Orlando Arcia,−185,+310,
Ryan McMahon,−150,+390,
Travis d'Arnaud,−250,+215,+900
Alec Burleson,−285,+180,+750
Blake Perkins,−130,+475,
Brendan Donovan,−245,+200,+750
Brice Turang,−220,+215,+750
Ivan Herrera,−170,+320,
Jackson Chourio,−230,+245,+1100
Jake Bauers,+100,+600,
Joey Ortiz,−130,+475,
Jordan Walker,−175,+310,
Lars Nootbaar,−200,+275,+1200
Masyn Winn,−265,+190,+750
Mike Siani,−150,+380,
Nolan Arenado,−240,+210,+850
Paul Goldschmidt,−195,+285,
Rhys Hoskins,−125,+475,
Sal Frelick,−155,+370,
William Contreras,−200,+285,
Willy Adames,−165,+350,
Andres Gimenez,−330,+150,+550
Bo Naylor,−160,+360,
Bobby Witt Jr,−380,+135,+500
Brayan Rocchio,−195,+285,+1200
Daniel Schneemann,−185,+300,
Freddy Fermin,−205,+240,+1000
Jhonkensy Noel,−240,+225,+1000
Jose Ramirez,−290,+180,+750
Josh Naylor,−265,+190,+750
Kyle Isbel,−175,+340,
Kyle Manzardo,−195,+290,
Maikel Garcia,−220,+245,+1000
Michael Massey,−260,+195,+850
MJ Melendez,−225,+250,+1200
Paul DeJong,−180,+320,
Salvador Perez,−265,+210,+950
Steven Kwan,−370,+135,+475
Tommy Pham,−275,+200,+900
Andrew McCutchen,−155,+380,
Bryan De La Cruz,−195,+285,
Bryan Reynolds,−240,+225,+950
Cody Bellinger,−195,+270,
Connor Joe,−140,+400,
Dansby Swanson,−165,+360,
Henry Davis,−115,+550,
Ian Happ,−180,+310,
Isaac Paredes,−145,+400,
Isiah Kiner-Falefa,−235,+225,+1000
Jared Triolo,−140,+400,
Michael Busch,−150,+380,
Miguel Amaya,−140,+425,
Nick Gonzales,−230,+245,+1100
Nico Hoerner,−210,+235,+1000
Oneil Cruz,−130,+425,
Pete Crow-Armstrong,−155,+380,
Seiya Suzuki,−195,+290,
Aaron Judge,−225,+240,+1000
Adolis Garcia,−220,+255,+1300
Alex Verdugo,−150,+380,
Anthony Rizzo,−175,+310,
Anthony Volpe,−185,+295,
Austin Wells,−225,+230,+950
Corey Seager,−310,+160,+650
Giancarlo Stanton,−180,+320,
Gleyber Torres,−230,+220,+900
Jazz Chisholm Jr,−150,+360,
Jonah Heim,−175,+340,
Josh Jung,−230,+240,+1100
Josh Smith,−215,+250,+1000
Juan Soto,−210,+255,+1100
Leody Taveras,−185,+320,
Marcus Semien,−255,+220,+1000
Nathaniel Lowe,−185,+320,
Wyatt Langford,−195,+295,
Anthony Rendon,−230,+245,+1000
Brandon Drury,−175,+340,
Freddie Freeman,−295,+170,+650
Gavin Lux,−240,+195,+750
Jo Adell,−150,+400,
Kevin Kiermaier,−145,+400,
Logan O'Hoppe,−210,+265,
Matt Thaiss,−110,+550,
Max Muncy,−190,+275,+1100
Mickey Moniak,−165,+360,
Mookie Betts,−340,+160,+600
Nolan Schanuel,−195,+275,+1200
Shohei Ohtani,−400,+135,+500
Taylor Ward,−250,+225,+1000
Teoscar Hernandez,−285,+180,+700
Tommy Edman,−210,+240,+950
Will Smith,−265,+210,+900
Zach Neto,−195,+290,
Fernando Tatis Jr.,−290,+175,+650
Jace Jung,−145,+400,
Jackson Merrill,−265,+190,+750
Jake Cronenworth,−215,+230,+950
Jake Rogers,−125,+475,
Jurickson Profar,−210,+275,+1200
Kerry Carpenter,−150,+390,
Kyle Higashioka,−150,+400,
Luis Arraez,−350,+145,+500
Manny Machado,−295,+175,+700
Mason McCoy,−140,+425,
Matt Vierling,−240,+200,+750
Parker Meadows,−175,+320,
Riley Greene,−205,+265,+1200
Spencer Torkelson,−165,+350,
Trey Sweeney,−125,+475,
Xander Bogaerts,−225,+220,+850
Zach McKinstry,−140,+425,
Brent Rooker,−210,+265,+1100
Cal Raleigh,−190,+285,
J.P. Crawford,−195,+290,
Jacob Wilson,−150,+390,
JJ Bleday,−185,+310,
Jorge Polanco,−175,+320,
Julio Rodriguez,−265,+190,+700
Justin Turner,−190,+295,
Lawrence Butler,−225,+255,+1000
Luis Urias,−105,+600,
Max Schuemann,−145,+425,
Mitch Garver,−130,+450,
Randy Arozarena,−210,+280,+1200
Seth Brown,−170,+350,
Shea Langeliers,−185,+310,
Tristan Gray,−115,+550,
Victor Robles,−170,+330,
Zack Gelof,−150,+390,
Christian Walker,−205,+290,
Corbin Carroll,−220,+225,+900
Eugenio Suarez,−195,+280,+1300
Geraldo Perdomo,−155,+350,
Grant McCray,−120,+500,
Jake McCarthy,−265,+180,+650
Jerar Encarnacion,−175,+330,
Joc Pederson,−190,+280,
Jose Herrera,+115,+650,
LaMonte Wade Jr,−150,+380,
Luis Guillorme,−170,+310,
Marco Luciano,−130,+450,
Matt Chapman,−240,+250,+1100
Michael Conforto,−175,+320,
Mike Yastrzemski,−190,+295,
Patrick Bailey,−170,+330,
Randal Grichuk,−140,+400,
Tyler Fitzgerald,−210,+250,+1100
