Team,Team Link
White Sox,/mlb/team/splits/_/type/pitching/name/chw
Guardians,/mlb/team/splits/_/type/pitching/name/cle
Tigers,/mlb/team/splits/_/type/pitching/name/det
Royals,/mlb/team/splits/_/type/pitching/name/kc
Twins,/mlb/team/splits/_/type/pitching/name/min
Orioles,/mlb/team/splits/_/type/pitching/name/bal
Red Sox,/mlb/team/splits/_/type/pitching/name/bos
Yankees,/mlb/team/splits/_/type/pitching/name/nyy
Rays,/mlb/team/splits/_/type/pitching/name/tb
Blue Jays,/mlb/team/splits/_/type/pitching/name/tor
Astros,/mlb/team/splits/_/type/pitching/name/hou
Angels,/mlb/team/splits/_/type/pitching/name/laa
Athletics,/mlb/team/splits/_/type/pitching/name/oak
Mariners,/mlb/team/splits/_/type/pitching/name/sea
Rangers,/mlb/team/splits/_/type/pitching/name/tex
Cubs,/mlb/team/splits/_/type/pitching/name/chc
Reds,/mlb/team/splits/_/type/pitching/name/cin
Brewers,/mlb/team/splits/_/type/pitching/name/mil
Pirates,/mlb/team/splits/_/type/pitching/name/pit
Cardinals,/mlb/team/splits/_/type/pitching/name/stl
Braves,/mlb/team/splits/_/type/pitching/name/atl
Marlins,/mlb/team/splits/_/type/pitching/name/mia
Mets,/mlb/team/splits/_/type/pitching/name/nym
Phillies,/mlb/team/splits/_/type/pitching/name/phi
Nationals,/mlb/team/splits/_/type/pitching/name/wsh
Diamondbacks,/mlb/team/splits/_/type/pitching/name/ari
Rockies,/mlb/team/splits/_/type/pitching/name/col
Dodgers,/mlb/team/splits/_/type/pitching/name/lad
Padres,/mlb/team/splits/_/type/pitching/name/sd
Giants,/mlb/team/splits/_/type/pitching/name/sf