Batter,Opposing Pitcher,Opposing Team,Throw,Batter Location,Batter Spot,AB,H,XBH,RBI,BB,K,AVG,OBP,SLG,OPS
Sal Frelick,Sonny Gray,Cardinals,Right,Home,8,5,0,0,0,0,2,0.0,0.167,0.0,0.167
Joey Ortiz,Sonny Gray,Cardinals,Right,Home,9,3,1,1,1,1,1,0.333,0.5,1.333,1.833
Steven Kwan,Seth Lugo,Royals,Right,Away,1,5,2,1,0,0,1,0.4,0.5,0.6,1.1
Andres Gimenez,Seth Lugo,Royals,Right,Away,2,5,0,0,0,0,2,0.0,0.0,0.0,0.0
Jose Ramirez,Seth Lugo,Royals,Right,Away,3,7,1,0,1,0,2,0.143,0.143,0.143,0.286
Josh Naylor,Seth Lugo,Royals,Right,Away,4,6,2,1,2,0,0,0.333,0.333,0.833,1.167
Jhonkensy Noel,Seth Lugo,Royals,Right,Away,5,3,0,0,0,0,2,0.0,0.0,0.0,0.0
Kyle Manzardo,Seth Lugo,Royals,Right,Away,6,3,0,0,0,0,1,0.0,0.0,0.0,0.0
Lane Thomas,Seth Lugo,Royals,Right,Away,7,7,1,1,2,0,2,0.143,0.143,0.571,0.714
Bo Naylor,Seth Lugo,Royals,Right,Away,8,2,2,1,0,0,0,1.0,1.0,1.5,2.5
Brayan Rocchio,Seth Lugo,Royals,Right,Away,9,2,0,0,0,0,2,0.0,0.0,0.0,0.0
Tommy Pham,Ben Lively,Guardians,Right,Home,1,9,3,1,1,0,3,0.333,0.333,0.444,0.778
Bobby Witt Jr,Ben Lively,Guardians,Right,Home,2,6,3,0,1,0,0,0.5,0.5,0.5,1.0
Michael Massey,Ben Lively,Guardians,Right,Home,3,5,0,0,0,0,3,0.0,0.167,0.0,0.167
Salvador Perez,Ben Lively,Guardians,Right,Home,4,4,2,0,0,0,1,0.5,0.6,0.5,1.1
Paul DeJong,Ben Lively,Guardians,Right,Home,5,9,3,1,3,0,3,0.333,0.333,0.667,1.0
MJ Melendez,Ben Lively,Guardians,Right,Home,6,5,2,0,0,0,1,0.4,0.4,0.4,0.8
Freddy Fermin,Ben Lively,Guardians,Right,Home,7,3,1,0,0,0,1,0.333,0.333,0.333,0.667
Maikel Garcia,Ben Lively,Guardians,Right,Home,8,4,2,1,1,0,1,0.5,0.5,1.0,1.5
Kyle Isbel,Ben Lively,Guardians,Right,Home,9,2,1,1,0,0,1,0.5,0.5,1.5,2.0
Isiah Kiner-Falefa,Shota Imanaga,Cubs,Left,Away,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bryan Reynolds,Shota Imanaga,Cubs,Left,Away,2,3,1,0,0,0,0,0.333,0.333,0.333,0.667
Nick Gonzales,Shota Imanaga,Cubs,Left,Away,3,3,0,0,0,0,1,0.0,0.0,0.0,0.0
Andrew McCutchen,Shota Imanaga,Cubs,Left,Away,4,2,0,0,0,1,0,0.0,0.333,0.0,0.333
Oneil Cruz,Shota Imanaga,Cubs,Left,Away,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Connor Joe,Shota Imanaga,Cubs,Left,Away,6,3,0,0,0,0,1,0.0,0.0,0.0,0.0
Bryan De La Cruz,Shota Imanaga,Cubs,Left,Away,7,3,0,0,0,0,2,0.0,0.0,0.0,0.0
Jared Triolo,Shota Imanaga,Cubs,Left,Away,8,3,1,0,0,0,2,0.333,0.333,0.333,0.667
Henry Davis,Shota Imanaga,Cubs,Left,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ian Happ,Domingo German,Pirates,Right,Home,1,3,0,0,0,1,3,0.0,0.25,0.0,0.25
Michael Busch,Domingo German,Pirates,Right,Home,2,2,0,0,0,0,1,0.0,0.0,0.0,0.0
Seiya Suzuki,Domingo German,Pirates,Right,Home,3,4,3,1,2,0,0,0.75,0.75,1.5,2.25
Cody Bellinger,Domingo German,Pirates,Right,Home,4,4,0,0,0,3,1,0.0,0.429,0.0,0.429
Isaac Paredes,Domingo German,Pirates,Right,Home,5,4,0,0,0,3,2,0.0,0.429,0.0,0.429
Nico Hoerner,Domingo German,Pirates,Right,Home,6,4,0,0,1,1,1,0.0,0.2,0.0,0.2
Dansby Swanson,Domingo German,Pirates,Right,Home,7,3,1,1,4,1,1,0.333,0.5,1.333,1.833
Pete Crow-Armstrong,Domingo German,Pirates,Right,Home,8,2,1,0,0,0,0,0.5,0.5,0.5,1.0
Miguel Amaya,Domingo German,Pirates,Right,Home,9,2,2,1,2,0,0,1.0,1.0,1.5,2.5
Gleyber Torres,Nathan Eovaldi,Rangers,Right,Away,1,46,10,2,2,2,8,0.217,0.25,0.261,0.511
Juan Soto,Nathan Eovaldi,Rangers,Right,Away,2,3,2,0,0,3,1,0.667,0.833,0.667,1.5
Aaron Judge,Nathan Eovaldi,Rangers,Right,Away,3,36,14,4,3,2,6,0.389,0.421,0.611,1.032
Austin Wells,Nathan Eovaldi,Rangers,Right,Away,4,2,1,1,2,0,0,0.5,0.5,1.0,1.5
Giancarlo Stanton,Nathan Eovaldi,Rangers,Right,Away,5,38,12,6,11,2,13,0.316,0.341,0.684,1.026
Jazz Chisholm Jr,Nathan Eovaldi,Rangers,Right,Away,6,4,1,0,0,0,2,0.25,0.25,0.25,0.5
Anthony Rizzo,Nathan Eovaldi,Rangers,Right,Away,7,25,9,6,6,1,6,0.36,0.407,0.76,1.167
Anthony Volpe,Nathan Eovaldi,Rangers,Right,Away,8,8,0,0,0,0,4,0.0,0.0,0.0,0.0
Alex Verdugo,Nathan Eovaldi,Rangers,Right,Away,9,7,1,0,0,1,1,0.143,0.25,0.143,0.393
Marcus Semien,Marcus Stroman,Yankees,Right,Home,1,17,7,0,0,3,2,0.412,0.5,0.412,0.912
Corey Seager,Marcus Stroman,Yankees,Right,Home,2,10,3,1,1,3,2,0.3,0.462,0.4,0.862
Josh Smith,Marcus Stroman,Yankees,Right,Home,3,3,1,0,0,1,0,0.333,0.6,0.333,0.933
Adolis Garcia,Marcus Stroman,Yankees,Right,Home,4,3,0,0,0,2,1,0.0,0.4,0.0,0.4
Nathaniel Lowe,Marcus Stroman,Yankees,Right,Home,5,5,1,0,0,0,2,0.2,0.2,0.2,0.4
Josh Jung,Marcus Stroman,Yankees,Right,Home,6,5,0,0,0,0,1,0.0,0.0,0.0,0.0
Wyatt Langford,Marcus Stroman,Yankees,Right,Home,7,2,1,0,0,0,0,0.5,0.5,0.5,1.0
Jonah Heim,Marcus Stroman,Yankees,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Leody Taveras,Marcus Stroman,Yankees,Right,Home,9,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Shohei Ohtani,Griffin Canning,Angels,Right,Away,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mookie Betts,Griffin Canning,Angels,Right,Away,2,5,2,2,1,0,0,0.4,0.4,1.2,1.6
Freddie Freeman,Griffin Canning,Angels,Right,Away,3,2,1,1,1,0,0,0.5,0.5,2.0,2.5
Teoscar Hernandez,Griffin Canning,Angels,Right,Away,4,6,4,2,3,0,2,0.667,0.667,1.333,2.0
Gavin Lux,Griffin Canning,Angels,Right,Away,5,2,1,0,0,0,0,0.5,0.5,0.5,1.0
Will Smith,Griffin Canning,Angels,Right,Away,6,4,2,1,0,1,0,0.5,0.6,0.75,1.35
Max Muncy,Griffin Canning,Angels,Right,Away,7,7,0,0,0,1,3,0.0,0.125,0.0,0.125
Tommy Edman,Griffin Canning,Angels,Right,Away,8,2,1,1,3,0,0,0.5,0.5,2.0,2.5
Miguel Rojas,Griffin Canning,Angels,Right,Away,9,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Taylor Ward,Bobby Miller,Dodgers,Right,Home,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Zach Neto,Bobby Miller,Dodgers,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nolan Schanuel,Bobby Miller,Dodgers,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Anthony Rendon,Bobby Miller,Dodgers,Right,Home,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mickey Moniak,Bobby Miller,Dodgers,Right,Home,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Logan O'Hoppe,Bobby Miller,Dodgers,Right,Home,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Brandon Drury,Bobby Miller,Dodgers,Right,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jo Adell,Bobby Miller,Dodgers,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Niko Kavadas,Bobby Miller,Dodgers,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Parker Meadows,Yu Darvish,Padres,Right,Away,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Riley Greene,Yu Darvish,Padres,Right,Away,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Matt Vierling,Yu Darvish,Padres,Right,Away,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kerry Carpenter,Yu Darvish,Padres,Right,Away,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Colt Keith,Yu Darvish,Padres,Right,Away,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Spencer Torkelson,Yu Darvish,Padres,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jace Jung,Yu Darvish,Padres,Right,Away,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Trey Sweeney,Yu Darvish,Padres,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Dillon Dingler,Yu Darvish,Padres,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Fernando Tatis Jr,Keider Montero,Tigers,Right,Home,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Luis Arraez,Keider Montero,Tigers,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jurickson Profar,Keider Montero,Tigers,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Manny Machado,Keider Montero,Tigers,Right,Home,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jake Cronenworth,Keider Montero,Tigers,Right,Home,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Xander Bogaerts,Keider Montero,Tigers,Right,Home,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jackson Merrill,Keider Montero,Tigers,Right,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kyle Higashioka,Keider Montero,Tigers,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mason McCoy,Keider Montero,Tigers,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
JP Crawford,JP Sears,Athletics,Left,Away,1,12,3,0,1,3,1,0.25,0.4,0.25,0.65
Julio Rodriguez,JP Sears,Athletics,Left,Away,2,16,3,0,0,0,5,0.188,0.235,0.188,0.423
Cal Raleigh,JP Sears,Athletics,Left,Away,3,3,0,0,0,1,0,0.0,0.4,0.0,0.4
Randy Arozarena,JP Sears,Athletics,Left,Away,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jorge Polanco,JP Sears,Athletics,Left,Away,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Justin Turner,JP Sears,Athletics,Left,Away,6,2,1,1,0,0,0,0.5,0.667,1.0,1.667
Luis Urias,JP Sears,Athletics,Left,Away,7,1,0,0,0,0,1,0.0,0.5,0.0,0.5
Mitch Garver,JP Sears,Athletics,Left,Away,8,3,1,0,1,1,0,0.333,0.5,0.333,0.833
Victor Robles,JP Sears,Athletics,Left,Away,9,1,0,0,0,0,0,0.0,0.5,0.0,0.5
Lawrence Butler,George Kirby,Mariners,Right,Home,1,3,1,0,0,0,0,0.333,0.333,0.333,0.667
Brent Rooker,George Kirby,Mariners,Right,Home,2,9,3,2,2,0,1,0.333,0.333,0.778,1.111
JJ Bleday,George Kirby,Mariners,Right,Home,3,6,4,1,1,0,1,0.667,0.667,1.167,1.833
Shea Langeliers,George Kirby,Mariners,Right,Home,4,4,2,1,1,0,2,0.5,0.5,0.75,1.25
Seth Brown,George Kirby,Mariners,Right,Home,5,14,3,1,0,2,6,0.214,0.313,0.286,0.598
Zack Gelof,George Kirby,Mariners,Right,Home,6,5,3,2,1,0,1,0.6,0.6,1.4,2.0
Tristan Gray,George Kirby,Mariners,Right,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Max Schuemann,George Kirby,Mariners,Right,Home,8,2,0,0,0,0,2,0.0,0.0,0.0,0.0
Jacob Wilson,George Kirby,Mariners,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Corbin Carroll,Hayden Birdsong,Giants,Right,Away,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jake McCarthy,Hayden Birdsong,Giants,Right,Away,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Joc Pederson,Hayden Birdsong,Giants,Right,Away,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Christian Walker,Hayden Birdsong,Giants,Right,Away,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Pavin Smith,Hayden Birdsong,Giants,Right,Away,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Adrian Del Castillo,Hayden Birdsong,Giants,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Eugenio Suarez,Hayden Birdsong,Giants,Right,Away,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Luis Guillorme,Hayden Birdsong,Giants,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Geraldo Perdomo,Hayden Birdsong,Giants,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mike Yastrzemski,Zac Gallen,Diamondbacks,Right,Home,1,23,7,3,5,3,7,0.304,0.393,0.435,0.828
Tyler Fitzgerald,Zac Gallen,Diamondbacks,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Heliot Ramos,Zac Gallen,Diamondbacks,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Michael Conforto,Zac Gallen,Diamondbacks,Right,Home,4,18,5,2,3,2,3,0.278,0.35,0.5,0.85
Matt Chapman,Zac Gallen,Diamondbacks,Right,Home,5,7,0,0,0,0,2,0.0,0.0,0.0,0.0
LaMonte Wade Jr,Zac Gallen,Diamondbacks,Right,Home,6,24,6,1,2,3,9,0.25,0.333,0.333,0.667
Patrick Bailey,Zac Gallen,Diamondbacks,Right,Home,7,5,3,2,3,0,2,0.6,0.6,1.4,2.0
Marco Luciano,Zac Gallen,Diamondbacks,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Grant McCray,Zac Gallen,Diamondbacks,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
