Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H
Kyle Schwarber,Blue Jays,Away,1,61,17,206,41
Trea Turner,Blue Jays,Away,2,66,18,206,41
Bryce Harper,Blue Jays,Away,3,71,22,206,41
Nick Castellanos,Blue Jays,Away,4,96,30,206,41
Bryson Stott,Blue Jays,Away,5,38,7,206,41
JT Realmuto,Blue Jays,Away,6,58,11,206,41
Brandon Marsh,Blue Jays,Away,7,33,7,206,41
Austin Hays,Blue Jays,Away,8,75,19,206,41
Edmundo Sosa,Blue Jays,Away,9,16,3,206,41
George Springer,Phillies,Home,1,63,20,237,62
Daulton Varsho,Phillies,Home,2,44,9,237,62
Vladimir Guerrero Jr,Phillies,Home,3,49,17,237,62
Alejandro Kirk,Phillies,Home,4,33,7,237,62
Ernie Clement,Phillies,Home,5,9,3,237,62
Leo Jimenez,Phillies,Home,6,2,1,237,62
Davis Schneider,Phillies,Home,7,8,2,237,62
Luis De Los Santos,Phillies,Home,8,0,0,237,62
Brian Serven,Phillies,Home,9,5,1,237,62
Nicky Lopez,Orioles,Away,1,46,14,243,58
Luis Robert Jr,Orioles,Away,2,27,6,243,58
Andrew Benintendi,Orioles,Away,3,69,13,243,58
Andrew Vaughn,Orioles,Away,4,57,14,243,58
Gavin Sheets,Orioles,Away,5,38,8,243,58
Korey Lee,Orioles,Away,6,24,6,243,58
Dominic Fletcher,Orioles,Away,7,4,0,243,58
Lenyn Sosa,Orioles,Away,8,13,4,243,58
Jacob Amaya,Orioles,Away,9,6,3,243,58
Gunnar Henderson,White Sox,Home,1,21,5,283,71
Adley Rutschman,White Sox,Home,2,24,6,283,71
Ryan O'Hearn,White Sox,Home,3,20,7,283,71
Anthony Santander,White Sox,Home,4,32,10,283,71
Colton Cowser,White Sox,Home,5,14,1,283,71
Eloy Jimenez,White Sox,Home,6,10,3,283,71
Cedric Mullins,White Sox,Home,7,28,7,283,71
Jackson Holliday,White Sox,Home,8,8,0,283,71
Emmanuel Rivera,White Sox,Home,9,16,2,283,71
Jose Altuve,Reds,Away,1,59,11,282,73
Yordan Alvarez,Reds,Away,2,20,5,282,73
Alex Bregman,Reds,Away,3,50,14,282,73
Yainer Diaz,Reds,Away,4,7,3,282,73
Jon Singleton,Reds,Away,5,13,0,282,73
Jeremy Pena,Reds,Away,6,12,2,282,73
Ben Gamel,Reds,Away,7,33,3,282,73
Mauricio Dubon,Reds,Away,8,14,2,282,73
Jason Heyward,Reds,Away,9,42,6,282,73
Jonathan India,Astros,Home,1,22,4,212,36
Elly De La Cruz,Astros,Home,2,15,3,212,36
Tyler Stephenson,Astros,Home,3,24,4,212,36
TJ Friedl,Astros,Home,4,13,3,212,36
Spencer Steer,Astros,Home,5,21,4,212,36
Ty France,Astros,Home,6,126,34,212,36
Jake Fraley,Astros,Home,7,15,4,212,36
Santiago Espinal,Astros,Home,8,26,4,212,36
Amed Rosario,Astros,Home,9,46,9,212,36
Dylan Crews,Marlins,Away,1,5,1,222,51
Jose Tena,Marlins,Away,2,5,0,222,51
Andres Chaparro,Marlins,Away,3,5,1,222,51
James Wood,Marlins,Away,4,6,1,222,51
Luis Garcia Jr,Marlins,Away,5,20,4,222,51
Joey Gallo,Marlins,Away,6,13,1,222,51
CJ Abrams,Marlins,Away,7,18,2,222,51
Keibert Ruiz,Marlins,Away,8,16,4,222,51
Jacob Young,Marlins,Away,9,8,5,222,51
Xavier Edwards,Nationals,Home,1,7,0,194,49
Connor Norby,Nationals,Home,2,4,2,194,49
Jake Burger,Nationals,Home,3,29,8,194,49
Jonah Bride,Nationals,Home,4,7,1,194,49
Otto Lopez,Nationals,Home,5,13,3,194,49
Cristian Pache,Nationals,Home,6,13,3,194,49
David Hensley,Nationals,Home,7,2,0,194,49
Kyle Stowers,Nationals,Home,8,4,0,194,49
Nick Fortes,Nationals,Home,9,26,5,194,49
Jarren Duran,Mets,Away,1,21,7,238,44
Wilyer Abreu,Mets,Away,2,4,1,238,44
Tyler O'Neill,Mets,Away,3,23,8,238,44
Rafael Devers,Mets,Away,4,73,14,238,44
Triston Casas,Mets,Away,5,13,3,238,44
Masataka Yoshida,Mets,Away,6,14,3,238,44
Connor Wong,Mets,Away,7,7,1,238,44
Enmanuel Valdez,Mets,Away,8,3,0,238,44
Ceddanne Rafaela,Mets,Away,9,9,2,238,44
Francisco Lindor,Red Sox,Home,1,31,10,226,42
Brandon Nimmo,Red Sox,Home,2,37,4,226,42
Mark Vientos,Red Sox,Home,3,11,3,226,42
Pete Alonso,Red Sox,Home,4,39,9,226,42
Jesse Winker,Red Sox,Home,5,49,4,226,42
Starling Marte,Red Sox,Home,6,40,12,226,42
Jose Iglesias,Red Sox,Home,7,25,4,226,42
Jeff McNeil,Red Sox,Home,8,39,12,226,42
Francisco Alvarez,Red Sox,Home,9,12,1,226,42
Charlie Blackmon,Braves,Away,1,72,16,212,38
Ezequiel Tovar,Braves,Away,2,32,6,212,38
Ryan McMahon,Braves,Away,3,59,10,212,38
Brenton Doyle,Braves,Away,4,24,5,212,38
Brendan Rodgers,Braves,Away,5,45,17,212,38
Michael Toglia,Braves,Away,6,24,5,212,38
Nolan Jones,Braves,Away,7,13,1,212,38
Jordan Beck,Braves,Away,8,5,0,212,38
Drew Romo,Braves,Away,9,3,0,212,38
Michael Harris II,Rockies,Home,1,27,10,232,60
Jorge Soler,Rockies,Home,2,61,21,232,60
Marcell Ozuna,Rockies,Home,3,37,9,232,60
Matt Olson,Rockies,Home,4,51,9,232,60
Travis d'Arnaud,Rockies,Home,5,23,8,232,60
Whit Merrifield,Rockies,Home,6,35,8,232,60
Jarred Kelenic,Rockies,Home,7,9,3,232,60
Orlando Arcia,Rockies,Home,8,34,5,232,60
Gio Urshela,Rockies,Home,9,15,6,232,60
Masyn Winn,Brewers,Away,1,50,12,299,56
Alec Burleson,Brewers,Away,2,48,9,299,56
Nolan Arenado,Brewers,Away,3,120,27,299,56
Brendan Donovan,Brewers,Away,4,62,7,299,56
Paul Goldschmidt,Brewers,Away,5,125,27,299,56
Lars Nootbaar,Brewers,Away,6,73,17,299,56
Jordan Walker,Brewers,Away,7,26,5,299,56
Ivan Herrera,Brewers,Away,8,12,3,299,56
Michael Siani,Brewers,Away,9,21,7,299,56
Brice Turang,Cardinals,Home,1,63,12,262,54
Jackson Chourio,Cardinals,Home,2,38,10,262,54
William Contreras,Cardinals,Home,3,86,25,262,54
Jake Bauers,Cardinals,Home,4,34,9,262,54
Willy Adames,Cardinals,Home,5,118,25,262,54
Garrett Mitchell,Cardinals,Home,6,23,5,262,54
Rhys Hoskins,Cardinals,Home,7,146,25,262,54
Sal Frelick,Cardinals,Home,8,50,11,262,54
Joey Ortiz,Cardinals,Home,9,33,8,262,54
Steven Kwan,Royals,Away,1,109,26,246,64
Andres Gimenez,Royals,Away,2,98,25,246,64
Jose Ramirez,Royals,Away,3,133,36,246,64
Josh Naylor,Royals,Away,4,97,24,246,64
Jhonkensy Noel,Royals,Away,5,23,4,246,64
Kyle Manzardo,Royals,Away,6,13,4,246,64
Lane Thomas,Royals,Away,7,35,8,246,64
Bo Naylor,Royals,Away,8,42,12,246,64
Brayan Rocchio,Royals,Away,9,20,5,246,64
Tommy Pham,Guardians,Home,1,44,10,214,40
Bobby Witt Jr,Guardians,Home,2,81,18,214,40
Michael Massey,Guardians,Home,3,42,5,214,40
Salvador Perez,Guardians,Home,4,126,33,214,40
Paul DeJong,Guardians,Home,5,65,10,214,40
MJ Melendez,Guardians,Home,6,63,10,214,40
Freddy Fermin,Guardians,Home,7,38,12,214,40
Maikel Garcia,Guardians,Home,8,59,10,214,40
Kyle Isbel,Guardians,Home,9,49,9,214,40
Isiah Kiner-Falefa,Cubs,Away,1,42,6,226,55
Bryan Reynolds,Cubs,Away,2,146,38,226,55
Nick Gonzales,Cubs,Away,3,33,10,226,55
Andrew McCutchen,Cubs,Away,4,121,23,226,55
Oneil Cruz,Cubs,Away,5,50,12,226,55
Connor Joe,Cubs,Away,6,76,24,226,55
Bryan De La Cruz,Cubs,Away,7,42,11,226,55
Jared Triolo,Cubs,Away,8,40,11,226,55
Henry Davis,Cubs,Away,9,16,5,226,55
Ian Happ,Pirates,Home,1,101,25,228,58
Michael Busch,Pirates,Home,2,40,2,228,58
Seiya Suzuki,Pirates,Home,3,76,21,228,58
Cody Bellinger,Pirates,Home,4,81,18,228,58
Isaac Paredes,Pirates,Home,5,43,4,228,58
Nico Hoerner,Pirates,Home,6,63,13,228,58
Dansby Swanson,Pirates,Home,7,65,19,228,58
Pete Crow-Armstrong,Pirates,Home,8,28,8,228,58
Miguel Amaya,Pirates,Home,9,26,6,228,58
Gleyber Torres,Rangers,Away,1,92,24,268,67
Juan Soto,Rangers,Away,2,84,13,268,67
Aaron Judge,Rangers,Away,3,84,21,268,67
Austin Wells,Rangers,Away,4,13,1,268,67
Giancarlo Stanton,Rangers,Away,5,99,27,268,67
Jazz Chisholm Jr,Rangers,Away,6,36,9,268,67
Anthony Rizzo,Rangers,Away,7,104,23,268,67
Anthony Volpe,Rangers,Away,8,35,4,268,67
Alex Verdugo,Rangers,Away,9,69,19,268,67
Marcus Semien,Yankees,Home,1,136,32,224,63
Corey Seager,Yankees,Home,2,81,27,224,63
Josh Smith,Yankees,Home,3,29,7,224,63
Adolis Garcia,Yankees,Home,4,62,15,224,63
Nathaniel Lowe,Yankees,Home,5,64,15,224,63
Josh Jung,Yankees,Home,6,39,13,224,63
Wyatt Langford,Yankees,Home,7,21,6,224,63
Jonah Heim,Yankees,Home,8,30,4,224,63
Leody Taveras,Yankees,Home,9,40,8,224,63
Shohei Ohtani,Angels,Away,1,28,10,223,41
Mookie Betts,Angels,Away,2,33,7,223,41
Freddie Freeman,Angels,Away,3,37,10,223,41
Teoscar Hernandez,Angels,Away,4,28,8,223,41
Gavin Lux,Angels,Away,5,12,2,223,41
Will Smith,Angels,Away,6,32,6,223,41
Max Muncy,Angels,Away,7,33,7,223,41
Tommy Edman,Angels,Away,8,30,7,223,41
Miguel Rojas,Angels,Away,9,30,6,223,41
Taylor Ward,Dodgers,Home,1,20,5,262,63
Zach Neto,Dodgers,Home,2,11,3,262,63
Nolan Schanuel,Dodgers,Home,3,8,2,262,63
Anthony Rendon,Dodgers,Home,4,32,10,262,63
Mickey Moniak,Dodgers,Home,5,19,2,262,63
Logan O'Hoppe,Dodgers,Home,6,7,2,262,63
Brandon Drury,Dodgers,Home,7,35,7,262,63
Jo Adell,Dodgers,Home,8,14,2,262,63
Niko Kavadas,Dodgers,Home,9,4,0,262,63
Parker Meadows,Padres,Away,1,4,1,231,54
Riley Greene,Padres,Away,2,31,4,231,54
Matt Vierling,Padres,Away,3,31,6,231,54
Kerry Carpenter,Padres,Away,4,14,4,231,54
Colt Keith,Padres,Away,5,7,1,231,54
Spencer Torkelson,Padres,Away,6,35,6,231,54
Jace Jung,Padres,Away,7,4,0,231,54
Trey Sweeney,Padres,Away,8,3,1,231,54
Dillon Dingler,Padres,Away,9,0,0,231,54
Fernando Tatis Jr,Tigers,Home,1,11,0,206,40
Luis Arraez,Tigers,Home,2,45,9,206,40
Jurickson Profar,Tigers,Home,3,10,2,206,40
Manny Machado,Tigers,Home,4,29,4,206,40
Jake Cronenworth,Tigers,Home,5,9,1,206,40
Xander Bogaerts,Tigers,Home,6,36,11,206,40
Jackson Merrill,Tigers,Home,7,3,2,206,40
Kyle Higashioka,Tigers,Home,8,18,3,206,40
Mason McCoy,Tigers,Home,9,3,2,206,40
JP Crawford,Athletics,Away,1,43,7,254,53
Julio Rodriguez,Athletics,Away,2,40,10,254,53
Cal Raleigh,Athletics,Away,3,24,6,254,53
Randy Arozarena,Athletics,Away,4,41,7,254,53
Jorge Polanco,Athletics,Away,5,18,2,254,53
Justin Turner,Athletics,Away,6,15,3,254,53
Luis Urias,Athletics,Away,7,7,1,254,53
Mitch Garver,Athletics,Away,8,20,3,254,53
Victor Robles,Athletics,Away,9,9,2,254,53
Lawrence Butler,Mariners,Home,1,27,8,196,35
Brent Rooker,Mariners,Home,2,61,12,196,35
JJ Bleday,Mariners,Home,3,46,10,196,35
Shea Langeliers,Mariners,Home,4,62,13,196,35
Seth Brown,Mariners,Home,5,88,12,196,35
Zack Gelof,Mariners,Home,6,33,8,196,35
Tristan Gray,Mariners,Home,7,6,0,196,35
Max Schuemann,Mariners,Home,8,23,2,196,35
Jacob Wilson,Mariners,Home,9,3,0,196,35
Corbin Carroll,Giants,Away,1,55,13,214,47
Jake McCarthy,Giants,Away,2,44,9,214,47
Joc Pederson,Giants,Away,3,21,3,214,47
Christian Walker,Giants,Away,4,100,25,214,47
Pavin Smith,Giants,Away,5,28,4,214,47
Adrian Del Castillo,Giants,Away,6,4,1,214,47
Eugenio Suarez,Giants,Away,7,38,7,214,47
Luis Guillorme,Giants,Away,8,17,2,214,47
Geraldo Perdomo,Giants,Away,9,47,9,214,47
Mike Yastrzemski,Diamondbacks,Home,1,111,26,276,79
Tyler Fitzgerald,Diamondbacks,Home,2,8,1,276,79
Heliot Ramos,Diamondbacks,Home,3,12,5,276,79
Michael Conforto,Diamondbacks,Home,4,84,20,276,79
Matt Chapman,Diamondbacks,Home,5,77,19,276,79
LaMonte Wade Jr,Diamondbacks,Home,6,97,16,276,79
Patrick Bailey,Diamondbacks,Home,7,41,12,276,79
Marco Luciano,Diamondbacks,Home,8,4,1,276,79
Grant McCray,Diamondbacks,Home,9,2,1,276,79
